Title,Link
1俳優の板垣瑞生さん死去、２４歳　ＳＮＳで家族が発表「不慮の事故により」…大河「花燃ゆ」「麒麟がくる」など出演スポーツ報知4/17(木)13:54,https://news.yahoo.co.jp/articles/ab7b4abe943c4a95ec626363b00864c5ef962fc8
2俳優の板垣瑞生さんが死去　24歳　突然の訃報にネット衝撃「嘘だと言ってよ」「早すぎる…」スポニチアネックス4/17(木)14:55,https://news.yahoo.co.jp/articles/21678e382806a082405a78f10e5894d665bd6b7d
3俳優の板垣瑞生さんが死去　２４歳　１月から「行方不明」で警察が遺体発見と　家族がＳＮＳで報告デイリースポーツ4/17(木)14:36,https://news.yahoo.co.jp/articles/4c2bfcafcaa1fae51ee440b6513ba5aa1e85ad43
4大谷翔平、今季初137メートル特大先頭打者アーチでキング争いトップに！ドジャースは初回7点の猛攻で3連勝ABEMA TIMES4/17(木)14:02,https://news.yahoo.co.jp/articles/56aa9404afa34c5a3a93a94b8022bd9b4a5b278d
5【訃報】俳優の板垣瑞生さん、24歳　事務所を退所し、今年１月から行方不明だったテレビ朝日系（ANN）4/17(木)14:46,https://news.yahoo.co.jp/articles/a228e4f9de20f0121b50bef7b798fff11439492d
1内閣支持最低23．1％　不支持、初の5割台　時事世論調査時事通信4/17(木)15:07,https://news.yahoo.co.jp/articles/563fb55c1a282568ee8d65459daabdc2907ad7eb
2【独自】中国・日本人親子ら襲撃事件　男の死刑執行日テレNEWS NNN4/17(木)12:120:38,https://news.yahoo.co.jp/articles/dba7d1ee056257c89ff6816f36c974b0e1c73763
3日米関税協議　トランプ氏「日本が最優先」と早期合意に意欲示す毎日新聞4/17(木)11:09,https://news.yahoo.co.jp/articles/2ac92fad508039ab70adfd49f8f90833b9687ca9
1【訃報】俳優・板垣瑞生さん（24）死去テレビ朝日系（ANN）4/17(木)15:031:55,https://news.yahoo.co.jp/articles/fcd1ff9db0cad64b94082748031cc53dcd97de6c
2国民一律の現金給付は、なし　大規模経済対策は見送りへ　政府「補正予算案検討せず」テレビ朝日系（ANN）4/17(木)10:462:51,https://news.yahoo.co.jp/articles/b7caadb6605ff47897be6e126a4922620f59627c
3【独自】東京都の担当課長の男（40）逮捕　都営大江戸線の電車内で女性のスカートの中をスマホで盗撮しようとしたか 「間違いありません」容疑認めるTBS NEWS DIG Powered by JNN4/17(木)12:120:48,https://news.yahoo.co.jp/articles/b759eacc72bb37e5ef9cda8c9163759e6e5d2d29
1「父ちゃんに似て危なっかしい性格」中居正広氏　独立後に実母が寄せていた“心配”、現在は“連絡拒絶”状態に女性自身4/17(木)11:00,https://news.yahoo.co.jp/articles/fb764ec305881989409ebd4dfd8f81083a1a4980
2「これは最大のスキャンダルだ…」スキージャンプ激震“スーツ不正事件”「みんなやってる。ただ今回は完全アウト」関係者が語る“イカサマ”の真相Number Web4/17(木)11:06,https://news.yahoo.co.jp/articles/b0b0de9b60cfd92a9334e64b94eb32780d1452e0
3〈15歳・女子高生刺殺〉24歳容疑者の生い立ち「実家で大きめのボヤ騒ぎが起きて…」「亡くなった母親を見舞う姿も見ていない」一家バラバラで「孤独な少年時代」NEWSポストセブン4/17(木)12:00,https://news.yahoo.co.jp/articles/f4c49c7ac026f2ea601a47b98b8b019a93dfec67
4「ゆったりファッション」が話題の小室眞子さん「悠仁さまの成年式で帰国」情報の現在関係省庁には「準備の気配もない」デイリー新潮4/17(木)6:01,https://news.yahoo.co.jp/articles/0b4630410d444c94e496e13a640171667d64735b
5突然のコンビ解散から3年。解散の真相と“意外な転職先”を明かす「子どもが産まれ、収入に不安を感じた」女子SPA！4/17(木)15:47,https://news.yahoo.co.jp/articles/48e69fe20814ae17dc7b7f4c3d7a2de768ae9ecb
